,rate_CO_SL
1825,3.6807748515421745
1826,3.6867188566585476
1827,3.692715319262641
1828,3.698763389880285
1829,3.7048621877247347
1830,4.072424502830896
1831,4.0792255574760645
1832,4.086079174559093
1833,4.092984251906241
1834,4.099939654343224
1835,4.106944213971422
1836,4.113996730757034
1837,4.121095972717361
1838,4.128240676344921
1839,4.135429547205238
1840,4.142661260156505
1841,4.149934459805481
1842,4.157247761174814
1843,4.16459974982753
1844,4.17198898261912
1845,4.179413988192271
1846,4.186873266973549
1847,4.194365292522832
1848,4.201888511311887
1849,4.2094413435085105
1850,4.217022183699726
1851,4.22462940108683
1852,4.232261340268455
1853,4.239916321851199
1854,4.247592642771096
1855,4.255288577074869
1856,4.263002376572234
1857,4.270732271129341
1858,4.278476469697368
1859,4.286233160522894
1860,4.296157217441702
1861,4.303937284505721
1862,4.311724295450118
1863,4.319516361818769
1864,4.3273115781777225
1865,4.335108021861946
1866,4.3429037547333555
1867,4.35069682294993
1868,4.358485258301649
1869,4.366267078580639
1870,4.3740402882132035
1871,4.381802879118355
1872,4.389552831499985
1873,4.397288114250695
1874,4.405006685905694
1875,4.412706495375176
1876,4.42038548250645
1877,4.4280415788998235
1878,4.435672708738006
1879,4.443276789303081
1880,4.450851731964941
1881,4.458395442647404
1882,4.465905822968778
1883,4.473380770422005
1884,4.480818179780471
1885,4.488215943275392
1886,4.495571951766947
1887,4.502884095190798
1888,4.51015026359755
1889,4.517368347667466
1890,4.773901246944968
1891,4.781409009637939
1892,4.78885937393328
1893,4.796250125370903
1894,4.8035790544018315
1895,4.8108439568983785
1896,4.818042635285518
1897,4.825172898989056
1898,4.832232565678381
1899,4.839219461548695
1900,4.8461314224371606
1901,4.852966294744811
1902,4.859721935718242
1903,4.866396214944089
1904,4.872987014187436
1905,4.879492229374234
1906,4.885909770298173
1907,4.892237561863049
1908,4.898473544995793
1909,4.9046156770030604
1910,4.910661932757921
1911,4.916610305110803
1912,4.922458805753192
1913,4.928205466179718
1914,4.933848338068298
1915,4.939385494171557
1916,4.944815029179176
1917,4.950135060378667
1918,4.955343727884571
1919,4.96043919643249
1920,4.249318316731396
1921,4.253480553187356
1922,4.257541332089267
1923,4.261499170416891
1924,4.2653526087272775
1925,4.26910021142059
1926,4.272740567452408
1927,4.276272291025902
1928,4.279694021834738
1929,4.283004425753407
1930,4.286202195496708
1931,4.289286050813205
1932,4.292254739360846
1933,4.295107036885301
1934,4.297841747802662
1935,4.300457706040349
1936,4.302953774757121
1937,4.305328847545886
1938,4.307581848575184
1939,4.309711732806668
1940,4.311717486934134
1941,4.313598129350131
1942,4.315352710842111
1943,4.3169803149141615
1944,4.3184800580723275
1945,4.319851090279883
1946,4.321092595471254
1947,4.322203791665342
1948,4.323183931395229
1949,4.324032302236299
1950,4.573654599577486
1951,4.574270980575418
1952,4.574745972945689
1953,4.575078973918541
1954,4.575269419332062
1955,4.575316783724498
1956,4.575220580691028
1957,4.57498036307372
1958,4.574595723299438
1959,4.574066293401638
1960,4.57339174559485
1961,4.572571792082596
1962,4.5716061854086965
1963,4.570494718840466
1964,4.569237226087797
1965,4.567833581926589
1966,4.5662837019294455
1967,4.56458754276255
1968,4.562745102447734
1969,4.560756420107502
1970,4.55862157628649
1971,4.556340693015112
1972,4.553913933707245
1973,4.551341503359838
1974,4.548623648462292
1975,4.545760656966152
1976,4.5427528585463435
1977,4.539600624191415
1978,4.536304366382389
1979,4.532864539182243
1980,3.59891471601291
1981,3.5959545253669973
1982,3.592881535119248
1983,3.589696236904744
1984,3.5863991550702683
1985,3.5829908462330855
1986,3.579471899391275
1987,3.5758429357562487
1988,3.572104608489749
1989,3.5682576026941923
1990,3.5643026352078624
1991,3.5602404543534996
1992,3.5560718398383324
1993,3.5517976025489455
1994,3.5474185842804005
1995,3.542935657610308
1996,3.5383497255267615
1997,3.533661721348415
1998,3.5288726083835438
1999,3.5239833796244904
2000,3.5189950575936466
2001,3.5139086939538133
2002,3.5087253692894187
2003,3.503446192697939
2004,3.498072301581298
2005,3.492604861300476
2006,3.4870450647446067
2007,3.4813941320875212
2008,3.4756533104360336
2009,3.469823873345413
2010,4.083240019998005
2011,4.076164010394123
2012,4.068988228334396
2013,4.06171429569167
2014,4.054343863163184
2015,4.046878610064788
2016,4.0393202434783975
2017,4.031670497905747
2018,4.023931134861266
2019,4.016103942034504
2020,4.008190732956829
2021,4.000193346434046
2022,3.992113645782025
2023,3.983953518565978
2024,3.9757148757042247
2025,3.967399650913443
2026,3.9590098004236207
2027,3.9505473019392214
2028,3.9420141541107134
2029,3.933412376260029
2030,3.9247440071059843
2031,3.916011104817367
2032,3.907215745700901
2033,3.8983600239369607
2034,3.8894460508784463
2035,3.8804759541883884
2036,3.87145187724711
2037,3.862375978566046
2038,3.853250430838958
2039,3.844077420528559
2040,3.5318148369606965
2041,3.5232853745143666
2042,3.514718309580825
2043,3.5061156992755405
2044,3.497479609800917
2045,3.4888121161554353
2046,3.480115300800695
2047,3.471391253691553
2048,3.4626420709030596
2049,3.4538698543735693
2050,3.445076711104404
2051,3.436264752348193
2052,3.427436092960029
2053,3.4185928507570256
2054,3.4097371456363303
2055,3.4008710990695565
2056,3.3919968331580805
2057,3.383116470038241
2058,3.374232131214647
2059,3.3653459366276657
2060,3.3564600041963537
2061,3.347576448850994
2062,3.338697381789338
2063,3.3298249101659723
2064,3.320961135809511
2065,3.3121081546655193
2066,3.303268056478252
2067,3.294442923265595
2068,3.2856348294955375
2069,3.2768458405447145
2070,3.2572967241610016
2071,3.248580951100063
2072,3.239890336459263
2073,3.23122689686762
2074,3.222592636709332
2075,3.2139895472001463
2076,3.2054196059448143
2077,3.1968847760251085
2078,3.1883870053034613
2079,3.179928225899487
2080,3.171510353329319
2081,3.163135285621253
2082,3.1548049032691976
2083,3.1465210676212694
2084,3.1382856211709202
2085,3.1301003860216916
2086,3.1219671636966306
2087,3.113887734440091
2088,3.1058638563980496
2089,3.0978972649606633
2090,3.0899896722985765
2091,3.0821427665097945
2092,3.0743582110680556
2093,3.0666376441821086
2094,3.058982678162461
2095,3.0513948987817914
2096,3.043875864757172
2097,3.036427106786394
2098,3.029050127652247
2099,3.0217464007818573
2100,4.065742282125326
2101,4.056094990135574
2102,4.046552215496333
2103,4.037115781937254
2104,4.027787469969665
2105,4.018569016923981
2106,4.00946211543597
2107,4.000468413372113
2108,3.991589512762508
2109,3.9828269692966756
2110,3.9741822916032588
2111,3.965656940526172
2112,3.957252328642435
2113,3.9489698194405314
2114,3.9408107268914967
2115,3.9327763147709773
2116,3.9248677959959553
2117,3.917086332272959
2118,3.909433033180752
2119,3.90190895617631
2120,3.8945151053709215
2121,3.887252431920782
2122,3.880121832449262
2123,3.8731241495610194
2124,3.8662601707658584
2125,3.859530628341547
2126,3.85293619881185
2127,3.846477502426186
2128,3.8401551029777288
2129,3.8339695073633804
2130,3.427590764298908
2131,3.4222982177850807
2132,3.417129220437353
2133,3.412084019091955
2134,3.407162808137732
2135,3.4023657295108425
2136,3.3976928719751314
2137,3.3931442716107965
2138,3.388719910738325
2139,3.3844197185506606
2140,3.380243570595366
2141,3.3761912885159684
2142,3.3722626402218725
2143,3.368457339635969
2144,3.3647750464778166
2145,3.361215366446747
2146,3.35777785104443
2147,3.354461997388439
2148,3.351267248521885
2149,3.348192993031794
2150,3.3452385653820302
2151,3.3424032458168207
2152,3.339686260271865
2153,3.3370867806888773
2154,3.3346039250407875
2155,3.332236757042285
2156,3.329984287046563
2157,3.3278454713920103
2158,3.3258192130619917
2159,3.3239043616003014
2160,4.697729735520741
2161,4.69533187024054
2162,4.69308621339177
2163,4.690990839128981
2164,4.689043747903115
2165,4.687242866705074
2166,4.685586049196205
2167,4.684071076625245
2168,4.682695658069278
2169,4.681457430647237
2170,4.680353960653926
2171,4.679382743228916
2172,4.6785412039676695
2173,4.67782669854221
2174,4.6772365138846705
2175,4.676767868512775
2176,4.676417913496979
2177,4.676183732661573
2178,4.676062343795151
2179,4.676050699113988
2180,4.676145685823798
2181,4.676344127382353
2182,4.676642783669887
2183,4.677038352364682
2184,4.677527469544401
2185,4.678106710263685
2186,4.678772589992725
2187,4.67952156501649
2188,4.6803500336490025
2189,4.681254337009269
2190,5.142125041970115
2191,5.143272433349684
2192,5.144490687536761
2193,5.145775546098504
2194,5.147122693251633
2195,5.148527757404524
2196,5.149986311635836
2197,5.1514938757152695
2198,5.153045916607619
2199,5.154637850284995
2200,5.156265042747502
2201,5.157922811076034
2202,5.159606425234428
2203,5.161311109034293
2204,5.163032041473682
2205,5.164764358359189
2206,5.166503153448347
2207,5.168243479838071
2208,5.1699803514724385
2209,5.1717087447470025
2210,5.173423599342056
2211,5.175119820544953
2212,5.176792279839341
2213,5.178435817126019
2214,5.18004524184119
2215,5.181615334412306
2216,5.183140848122967
2217,5.184616510399408
2218,5.186037024317621
2219,5.187397070396936
2220,6.53259772288372
2221,6.534137575309022
2222,6.535581055219788
2223,6.536921371129691
2224,6.538151713128153
2225,6.539265255132549
2226,6.540255156295133
2227,6.541114563955842
2228,6.54183661506438
2229,6.542414438454362
2230,6.5428411572504475
2231,6.543109890527103
2232,6.543213755680106
2233,6.543145870617974
2234,6.54289935566748
2235,6.542467335971558
2236,6.541842943537346
2237,6.541019319239146
2238,6.539989615251391
2239,6.538746997054796
2240,6.5372846455280245
2241,6.53559575932566
2242,6.53367355690615
2243,6.531511278629909
2244,6.529102189196915
2245,6.526439579463112
2246,6.523516768968529
