,rate_CO_SL
513,2.0426385067863033
514,2.055003297459691
515,2.067285189832235
516,2.0794835127325664
517,2.091597605691028
518,2.1036268192988907
519,2.115570515389019
520,2.1274280665827847
521,2.1391988571958773
522,2.1508822828157736
523,2.162477750293242
524,2.1739846784967884
525,2.1854024975076025
526,2.196730649580949
527,2.2079685886690017
528,2.219115780605306
529,2.2301717033718123
530,2.2411358470559417
531,2.2520077138422208
532,2.2627868183173856
533,2.2734726872673128
534,2.284064860005595
535,2.294562888313962
536,2.3049663364175923
537,2.315274781219053
538,2.325487812425132
539,2.3356050321069306
540,2.3456260555447592
601,2.6315358360793617
602,2.6351935054908355
603,2.6387613635666667
604,2.6422398001688547
605,2.6456292146951133
606,2.6489300159955516
607,2.6521426221751083
608,2.6552674605428512
609,2.658304967486549
610,2.661255588193326
611,2.664119776713106
612,2.6668979957609977
613,2.669590716435553
614,2.6721984183588297
615,2.674721589226341
616,2.6771607249304332
617,2.6795163292641653
618,2.681788913790472
619,2.6839789977591124
620,2.6860871079015056
621,2.688113778279951
622,2.6900595501938755
623,2.6919249719471376
624,2.6937105987528445
625,2.6954169925684828
626,2.6970447219008387
627,2.6985943616820918
628,2.7000664931516143
629,2.7014617035515363
630,2.702780586168492
631,1.9587376936229224
632,1.9595837896087485
633,1.9603759091401916
634,1.9611144979497253
635,1.9618000054765847
636,1.962432884748977
637,1.9630135922434249
638,1.9635425877739283
639,1.9640203343766915
640,1.9644472981641017
641,1.9648239482256065
642,1.965150756481962
643,1.9654281975685373
644,1.965656748720616
645,1.96583688962438
646,1.9659691023145571
647,1.9660538710313984
648,1.9660916820995369
649,1.9660830238062217
650,1.9660283862650556
651,1.9659282612973088
652,1.965783142300848
653,1.9655935241230225
654,1.965359902925926
655,1.965082776084333
656,1.9647626420252475
657,1.9644000001167636
658,1.9639953505555043
659,1.963549194204552
660,1.9630620325099444
661,2.1790898837274986
662,2.178459578175126
663,2.1777854151732816
664,2.1770679525665777
665,2.1763077481205313
666,2.1755053594074534
667,2.174661343617614
668,2.1737762574696853
669,2.1728506570447195
670,2.1718850976490547
671,2.1708801337107517
672,2.169836318598421
673,2.168754204508805
674,2.167634342352555
675,2.166477281575321
676,2.1652835700704447
677,2.164053754017924
678,2.1627883777569816
679,2.1614879836775485
680,2.160153112062293
681,2.158784300982078
682,2.1573820861574102
683,2.1559470008115444
684,2.154479575611234
685,2.15298033846051
686,2.151449814422749
687,2.149888525623639
688,2.148296991053584
689,2.1466757265430694
690,2.145025244554009
691,2.7779680701503886
692,2.7757551357140104
693,2.7735062981142056
694,2.77122220282298
695,2.768903490288427
696,2.766550795738297
697,2.764164749094925
698,2.7617459747863915
699,2.7592950916370285
700,2.7568127127519517
701,2.7542994453437637
702,2.7517558905889934
703,2.7491826436147853
704,2.746580293185765
705,2.7439494217889253
706,2.7412906053165518
707,2.738604413073169
708,2.73589140763933
709,2.7331521447105245
710,2.7303871730114437
711,2.7275970342175953
712,2.724782262776711
713,2.7219433858817546
714,2.7190809233002446
715,2.7161953873015543
716,2.7132872825910246
717,2.7103571061619043
718,2.7074053471823136
719,2.7044324870474705
720,2.7014389990672405
721,1.9893662990287349
722,1.9871300112223735
723,1.9848795270289248
724,1.9826151713560465
725,1.9803372629079703
726,1.9780461142316343
727,1.9757420315327132
728,1.973425314731894
729,1.9710962573947013
730,1.968755146655508
731,1.9664022631936653
732,1.9640378812145547
733,1.9616622683613207
734,1.9592756857320983
735,1.9568783877999243
736,1.9544706223993171
737,1.952052630714103
738,1.9496246472205303
739,1.9471868996345305
740,1.9447396090070947
741,1.9422829895156752
742,1.939817248656014
743,1.937342587018331
744,1.9348591984146644
745,1.9323672698247365
746,1.9298669813610296
747,1.9273585062762812
748,1.9248420109758144
749,1.9223176549663503
750,1.9197855909113617
781,1.93690486912284
782,1.9340188417457431
783,1.931126043698477
784,1.9282264031325689
785,1.9253198422287103
786,1.9224062771969723
787,1.9194856184094615
788,1.9165577704353047
789,1.9136226321327632
790,1.9106800967377096
791,1.90773005193808
792,1.9047723798772185
793,1.901806957442239
794,1.898833656070705
795,1.8958523421105853
796,1.8928628766711568
797,1.8898651158731632
798,1.886858910878532
799,1.8838441079830224
800,1.8808205487115397
801,1.8777880699270968
802,1.8747465039028568
803,1.8716956784456416
804,1.8686354169707629
805,1.865565538616308
806,1.8624858583455304
807,1.8593961870517572
808,1.85629633159693
809,1.8531860950851593
810,1.8500652767257864
811,2.0982915092488126
812,2.094721219644746
813,2.0911381995172937
814,2.0875422050036616
815,2.083932988446745
816,2.0803102988332296
817,2.0766738815804233
818,2.0730234789147275
819,2.0693588299338184
820,2.0656796706737706
821,2.0619857343116736
822,2.05827675127611
823,2.0545524493623626
824,2.050812553919005
825,2.047056787894688
826,2.043284872043265
827,2.039496525070032
828,2.035691463702573
829,2.0318694028115725
830,2.028030055751492
831,2.024173134139854
832,2.020298348412039
833,2.016405407561604
834,2.0124940195507226
835,2.008563891382121
836,2.0046147291593144
837,2.000646238303972
838,1.9966581237076797
839,1.9926500897713804
840,1.9886218406746237
841,1.9275451183396908
842,1.923592492490574
843,1.9196193700262048
844,1.9156254638355248
845,1.9116104871457569
846,1.907574153880061
847,1.9035161784144732
848,1.8994362761383623
849,1.8953341632101368
850,1.8912095568854324
851,1.887062175734913
852,1.8828917395107567
853,1.878697969481842
854,1.8744805885490283
855,1.8702393212883484
856,1.865973894161748
857,1.8616840356035247
858,1.8573694761309612
859,1.853029948564728
871,2.1562189234541456
872,2.150600762352503
873,2.1449485552796888
874,2.1392620398897573
875,2.133540958847429
876,2.1277850598942534
877,2.1219940960581534
878,2.1161678257055963
879,2.1103060127050357
880,2.104408426581227
881,2.098474842599564
882,2.0925050417894666
883,2.0864988113829326
884,2.0804559444648825
885,2.074376240593137
886,2.0682595054438035
887,2.0621055512409465
888,2.055914196774107
889,2.049685267457493
890,2.0434185954723896
891,2.037114019905609
892,2.0307713867586408
893,2.024390549182496
894,2.01797136740941
895,2.011513708961057
896,2.0050174487442405
897,1.9984824690926584
898,1.9919086597576048
899,1.985295918309252
900,1.9786441498405276
901,2.287045666905471
902,2.279240212845045
903,2.2713892201510184
904,2.263492615608377
905,2.2555503349797585
906,2.2475623238413096
907,2.23952853698823
908,2.231448938902859
909,2.223323503798241
910,2.2151522154984247
911,2.2069350676347117
912,2.19867206376085
913,2.1903632172057983
914,2.1820085513774647
915,2.173608099611703
916,2.165161905276702
917,2.156670021940472
918,2.148132513262708
919,2.1395494529217016
920,2.1309209251591503
921,2.1222470240512155
922,2.113527854348724
923,2.104763530778836
924,2.0959541785077205
925,2.0870999331108653
926,2.0782009404332453
927,2.069257356667225
928,2.0602693484906323
929,2.051237092845991
930,2.042160777161653
931,1.9253637956984044
932,1.9166853115234637
933,1.907965692253205
934,1.8992051546621236
935,1.890403925182869
936,1.8815622403647825
937,1.87268034614614
938,1.863758498547312
939,1.8547969631371228
1560,-1.1017420484415057
1561,-1.1281524054116985
1562,-1.1545268903294947
1563,-1.1808635715500078
1564,-1.2071605209633487
1565,-1.2334158140315867
1566,-1.2596275314603815
1567,-1.2857937581177803
1568,-1.3119125850024815
1569,-1.3379821085911483
1570,-1.3640004315678662
1571,-1.3899656634970166
1572,-1.415875921222625
1573,-1.441729328907473
1574,-1.4675240190656509
1575,-1.4932581324276923
1576,-1.518929818954646
1577,-1.5445372378751394
1578,-1.5700785580626186
1579,-1.5955519590230411
1580,-1.6209556304636383
1581,-1.6462877735472508
1582,-1.6715466012285736
1583,-1.6967303376438416
1584,-1.7218372201807914
1585,-1.7468654986814205
