,rate_CO_SL
361,-5.859556239223268
362,-5.901076236535048
363,-5.942810206920395
364,-5.984756739930575
365,-6.026914337051416
366,-6.069281415912758
367,-6.111856306672545
368,-6.1546372561093055
369,-6.197622425952022
370,-6.240809893633418
371,-6.284197653566372
372,-6.327783617448134
373,-6.3715656141981745
374,-6.415541391652412
375,-6.4597086162227475
376,-6.504064874235598
377,-6.548607672534307
378,-6.593334438485045
379,-6.638242521463169
380,-6.683329194236635
381,-6.7285916510511745
382,-6.774027012279571
383,-6.819632321475291
384,-6.865404548779978
385,-6.9113405914861366
386,-6.957437272763884
387,-7.003691345735652
388,-7.050099492057313
389,-7.096658323470744
390,-7.143364383283616
1650,-inf
1651,-inf
1652,-inf
1653,-inf
1654,-inf
1655,-inf
1656,-inf
1657,-inf
1658,-inf
1659,-inf
1660,-inf
1661,-inf
1662,-inf
1663,-inf
1664,-inf
1665,-inf
1666,-inf
1667,-inf
1668,-inf
1669,-inf
1670,-inf
1671,-inf
1672,-inf
1673,-inf
1674,-inf
1675,-inf
1676,-inf
1677,-inf
1678,-inf
1679,-inf
2575,7.939539740560501
2576,7.873356622024227
2577,7.805994886605037
2578,7.737451187217536
2579,7.667722473552753
2580,7.596805992086103
2581,7.524699290587256
2582,7.4514002153643775
2583,7.376906915640018
2584,7.301217844404363
2585,7.22433175810222
2586,7.146247718639241
2587,7.066965095026197
2588,6.986483562377513
2589,6.9048031050110135
2590,6.82192401523206
2591,6.737846894711358
2592,6.652572656091553
2593,6.566102521920477
2594,6.478438024676827
2595,6.389581010940644
2596,6.299533635417408
4838,-3.796466649294692
4839,-3.856504786467628
4840,-3.9175389104256992
4841,-3.979573263276928
4842,-4.042611856600274
4843,-4.106658464649105
4844,-4.171716627377303
4845,-4.237789645704162
4846,-4.3048805805667385
4847,-4.372992252248053
4848,-4.442127238393597
4849,-4.512287871980859
4850,-4.583476241383576
4851,-4.655694187427618
4852,-4.7289433036348685
4853,-4.803224934436662
4854,-4.878540173337144
4855,-4.954889862985328
4856,-5.0322745948198
4857,-5.110694704475983
4858,-5.190150276620304
4859,-5.270641137852372
4860,-5.352166861771061
4861,-5.434726764578838
4862,-5.518319904925643
4863,-5.602945084757445
4864,-5.688600847992056
4865,-5.775285479156055
4866,-5.86299700509743
